"Date","Price","Open","High","Low","Change %"
"01/10/2019","21.007","21.007","21.007","21.007","0.21%"
"01/09/2019","20.963","20.963","20.963","20.963","0.07%"
"01/08/2019","20.949","20.949","20.949","20.949","0.07%"
"01/07/2019","20.934","20.934","20.934","20.934","0.07%"
"01/04/2019","20.920","20.920","20.920","20.920","0.07%"
"01/03/2019","20.906","20.906","20.906","20.906","0.21%"
"01/02/2019","20.862","20.862","20.862","20.862","0.07%"
"12/28/2018","20.848","20.848","20.848","20.848","0.07%"
"12/27/2018","20.834","20.834","20.834","20.834","0.27%"
"12/26/2018","20.777","20.777","20.777","20.777","0.07%"
"12/21/2018","20.763","20.763","20.763","20.763","0.07%"
"12/20/2018","20.749","20.749","20.749","20.749","0.34%"
"12/19/2018","20.678","20.678","20.678","20.678","0.07%"
"12/18/2018","20.664","20.664","20.664","20.664","0.07%"
"12/17/2018","20.650","20.650","20.650","20.650","0.07%"
"12/14/2018","20.636","20.636","20.636","20.636","0.07%"
"12/13/2018","20.622","20.622","20.622","20.622","0.20%"
"12/12/2018","20.580","20.580","20.580","20.580","0.07%"
"12/11/2018","20.566","20.566","20.566","20.566","0.06%"
"12/10/2018","20.553","20.553","20.553","20.553","0.07%"
"12/07/2018","20.539","20.539","20.539","20.539","0.07%"
"12/06/2018","20.525","20.525","20.525","20.525","0.20%"
"12/05/2018","20.484","20.484","20.484","20.484","0.07%"
"12/04/2018","20.470","20.470","20.470","20.470","0.07%"
"12/03/2018","20.456","20.456","20.456","20.456","0.13%"
"11/29/2018","20.429","20.429","20.429","20.429","0.20%"
"11/28/2018","20.388","20.388","20.388","20.388","0.06%"
"11/27/2018","20.375","20.375","20.375","20.375","0.07%"
"11/26/2018","20.361","20.361","20.361","20.361","0.07%"
"11/23/2018","20.347","20.347","20.347","20.347","0.06%"
"11/22/2018","20.334","20.334","20.334","20.334","0.20%"
"11/21/2018","20.294","20.294","20.294","20.294","0.07%"
"11/20/2018","20.280","20.280","20.280","20.280","0.06%"
"11/16/2018","20.267","20.267","20.267","20.267","0.33%"
"11/14/2018","20.200","20.200","20.200","20.200","0.06%"
"11/13/2018","20.187","20.187","20.187","20.187","0.07%"
"11/12/2018","20.173","20.173","20.173","20.173","0.06%"
"11/09/2018","20.160","20.160","20.160","20.160","0.06%"
"11/08/2018","20.147","20.147","20.147","20.147","0.20%"
"11/07/2018","20.107","20.107","20.107","20.107","0.06%"
"11/06/2018","20.094","20.094","20.094","20.094","0.00%"
"11/05/2018","20.094","20.094","20.094","20.094","0.06%"
"11/02/2018","20.081","19.213","20.081","19.213","4.65%"
"11/01/2018","19.188","19.188","19.188","19.188","-15.31%"
"10/31/2018","22.657","22.657","22.657","22.657","0.07%"
"10/30/2018","22.642","22.642","22.642","22.642","0.07%"
"10/29/2018","22.626","22.626","22.626","22.626","0.00%"
"10/26/2018","22.626","22.626","22.626","22.626","0.07%"
"10/25/2018","22.611","22.611","22.611","22.611","0.20%"
"10/24/2018","22.565","22.565","22.565","22.565","0.07%"
"10/23/2018","22.549","22.549","22.549","22.549","0.07%"
"10/22/2018","22.534","22.534","22.534","22.534","0.07%"
"10/19/2018","22.519","22.519","22.519","22.519","0.07%"
"10/18/2018","22.504","22.504","22.504","22.504","0.20%"
"10/17/2018","22.458","22.458","22.458","22.458","0.07%"
"10/16/2018","22.443","22.443","22.443","22.443","0.07%"
"10/12/2018","22.428","22.428","22.428","22.428","0.08%"
"10/11/2018","22.411","22.411","22.411","22.411","0.30%"
"10/10/2018","22.345","22.345","22.345","22.345","19.58%"
"10/09/2018","18.687","18.687","18.687","18.687","0.07%"
"10/08/2018","18.674","18.674","18.674","18.674","0.07%"
"10/05/2018","18.661","18.661","18.661","18.661","0.07%"
"10/04/2018","18.648","18.648","18.648","18.648","0.20%"
"10/03/2018","18.610","18.610","18.610","18.610","0.06%"
"10/02/2018","18.598","18.598","18.598","18.598","0.07%"
"10/01/2018","18.585","18.585","18.585","18.585","0.06%"
"09/28/2018","18.573","18.573","18.573","18.573","0.07%"
"09/27/2018","18.560","18.560","18.560","18.560","0.21%"
"09/26/2018","18.522","18.522","18.522","18.522","0.06%"
"09/25/2018","18.510","18.510","18.510","18.510","0.07%"
"09/24/2018","18.497","18.497","18.497","18.497","0.06%"
"09/21/2018","18.485","18.485","18.485","18.485","0.06%"
"09/20/2018","18.473","18.473","18.473","18.473","0.21%"
"09/19/2018","18.435","18.435","18.435","18.435","0.07%"
"09/18/2018","18.423","18.423","18.423","18.423","0.07%"
"09/17/2018","18.411","18.411","18.411","18.411","0.07%"
"09/14/2018","18.399","18.399","18.399","18.399","0.07%"
"09/13/2018","18.386","18.386","18.386","18.386","0.20%"
"09/12/2018","18.350","18.350","18.350","18.350","0.07%"
"09/11/2018","18.337","18.337","18.337","18.337","0.07%"
"09/10/2018","18.325","18.325","18.325","18.325","0.07%"
"09/07/2018","18.313","18.313","18.313","18.313","0.07%"
"09/06/2018","18.301","18.301","18.301","18.301","0.20%"
"09/05/2018","18.264","18.264","18.264","18.264","0.07%"
"09/04/2018","18.252","18.252","18.252","18.252","0.07%"
"09/03/2018","18.240","18.240","18.240","18.240","0.07%"
"08/31/2018","18.228","18.228","18.228","18.228","0.07%"
"08/30/2018","18.216","18.216","18.216","18.216","0.20%"
"08/29/2018","18.180","18.180","18.180","18.180","0.00%"
"08/28/2018","18.180","18.180","18.180","18.180","0.07%"
"08/27/2018","18.168","18.168","18.168","18.168","0.07%"
"08/24/2018","18.156","18.156","18.156","18.156","0.06%"
"08/23/2018","18.145","18.145","18.145","18.145","0.20%"
"08/22/2018","18.109","18.109","18.109","18.109","0.07%"
"08/21/2018","18.097","18.097","18.097","18.097","0.07%"
"08/17/2018","18.085","18.085","18.085","18.085","0.07%"
"08/16/2018","18.073","18.073","18.073","18.073","0.26%"
"08/15/2018","18.027","18.027","18.027","18.027","0.07%"
"08/14/2018","18.015","18.015","18.015","18.015","0.07%"
"08/13/2018","18.003","18.003","18.003","18.003","0.07%"
"08/10/2018","17.991","17.991","17.991","17.991","0.06%"
"08/09/2018","17.980","17.980","17.980","17.980","0.20%"
"08/08/2018","17.945","17.945","17.945","17.945","0.07%"
"08/07/2018","17.933","17.933","17.933","17.933","0.06%"
"08/06/2018","17.922","17.922","17.922","17.922","0.07%"
"08/03/2018","17.910","17.910","17.910","17.910","0.06%"
"08/02/2018","17.899","17.899","17.899","17.899","0.20%"
"08/01/2018","17.864","17.864","17.864","17.864","0.06%"
"07/31/2018","17.853","17.853","17.853","17.853","0.07%"
"07/30/2018","17.841","17.841","17.841","17.841","0.06%"
"07/27/2018","17.830","17.830","17.830","17.830","0.00%"
"07/26/2018","17.830","17.830","17.830","17.830","0.20%"
"07/25/2018","17.795","17.795","17.795","17.795","0.06%"
"07/24/2018","17.784","17.784","17.784","17.784","0.06%"
"07/23/2018","17.773","17.773","17.773","17.773","0.07%"
"07/20/2018","17.761","17.761","17.761","17.761","0.06%"
"07/19/2018","17.750","17.750","17.750","17.750","0.19%"
"07/18/2018","17.716","17.716","17.716","17.716","0.06%"
"07/17/2018","17.705","17.705","17.705","17.705","0.06%"
"07/16/2018","17.694","17.694","17.694","17.694","0.06%"
"07/13/2018","17.683","17.683","17.683","17.683","0.07%"
"07/12/2018","17.671","17.671","17.671","17.671","0.19%"
"07/11/2018","17.638","17.638","17.638","17.638","0.06%"
"07/10/2018","17.627","17.627","17.627","17.627","0.06%"
"07/06/2018","17.616","17.616","17.616","17.616","0.07%"
"07/05/2018","17.604","17.604","17.604","17.604","0.25%"
"07/04/2018","17.560","17.560","17.560","17.560","0.06%"
"07/03/2018","17.549","17.549","17.549","17.549","0.06%"
"07/02/2018","17.538","17.538","17.538","17.538","0.06%"
"06/29/2018","17.527","17.527","17.527","17.527","0.06%"
"06/28/2018","17.516","17.516","17.516","17.516","0.19%"
"06/27/2018","17.483","17.483","17.483","17.483","0.06%"
"06/26/2018","17.472","17.472","17.472","17.472","0.06%"
"06/25/2018","17.462","17.462","17.462","17.462","0.06%"
"06/22/2018","17.451","17.451","17.451","17.451","0.06%"
"06/21/2018","17.440","17.440","17.440","17.440","0.19%"
"06/19/2018","17.407","17.407","17.407","17.407","0.06%"
"06/18/2018","17.397","17.397","17.397","17.397","0.13%"
"06/15/2018","17.375","17.375","17.375","17.375","0.06%"
"06/14/2018","17.364","17.364","17.364","17.364","-0.52%"
"06/13/2018","17.455","17.455","17.455","17.455","0.06%"
"06/12/2018","17.444","17.444","17.444","17.444","0.06%"
"06/11/2018","17.434","17.434","17.434","17.434","0.06%"
"06/08/2018","17.423","17.423","17.423","17.423","0.06%"
"06/07/2018","17.412","17.412","17.412","17.412","0.18%"
"06/06/2018","17.380","17.380","17.380","17.380","-2.04%"
"06/05/2018","17.742","17.742","17.742","17.742","0.06%"
"06/04/2018","17.731","17.731","17.731","17.731","0.06%"
"06/01/2018","17.720","17.720","17.720","17.720","0.06%"
"05/31/2018","17.709","17.709","17.709","17.709","-3.31%"
"05/30/2018","18.316","18.316","18.316","18.316","0.07%"
"05/29/2018","18.304","18.304","18.304","18.304","0.00%"
"05/28/2018","18.304","18.304","18.304","18.304","0.06%"
"05/25/2018","18.293","18.293","18.293","18.293","0.00%"
"05/24/2018","18.293","18.293","18.293","18.293","0.07%"
"05/23/2018","18.281","18.281","18.281","18.281","-1.17%"
"05/22/2018","18.498","18.498","18.498","18.498","6.66%"
"05/21/2018","17.343","17.343","17.343","17.343","2.56%"
"05/20/2018","16.910","16.910","16.910","16.910","0.00%"
"05/19/2018","16.910","16.910","16.910","16.910","0.00%"
"05/18/2018","16.910","16.910","16.910","16.910","0.06%"
"05/17/2018","16.900","16.900","16.900","16.900","0.18%"
"05/16/2018","16.870","16.870","16.870","16.870","0.07%"
"05/15/2018","16.859","16.859","16.859","16.859","0.06%"
"05/14/2018","16.849","16.849","16.849","16.849","0.06%"
"05/12/2018","16.839","16.839","16.839","16.839","0.00%"
"05/11/2018","16.839","16.839","16.839","16.839","0.06%"
"05/10/2018","16.829","16.829","16.829","16.829","0.18%"
"05/09/2018","16.799","16.799","16.799","16.799","0.06%"
"05/08/2018","16.789","16.789","16.789","16.789","0.06%"
"05/07/2018","16.779","16.779","16.779","16.779","0.06%"
"05/05/2018","16.769","16.769","16.769","16.769","0.00%"
"05/04/2018","16.769","16.769","16.769","16.769","0.06%"
"05/03/2018","16.759","16.759","16.759","16.759","0.18%"
"05/02/2018","16.729","16.729","16.729","16.729","0.06%"
"04/28/2018","16.719","16.719","16.719","16.719","0.00%"
