Date,Price,Open,High,Low,Vol.,Change %
2020-08-06,169.66,168.62,169.78,168.28,2.15M,0.49%
2020-08-05,168.84,168.48,168.91,168.3,2.68M,0.73%
2020-08-04,167.62,166.61,167.62,166.53,2.81M,0.40%
2020-08-03,166.96,166.47,167.3,166.15,4.34M,0.87%
2020-08-02,165.52,165.52,165.52,165.52,,0.00%
2020-07-31,165.52,165.54,165.62,162.96,3.16M,0.51%
2020-07-30,164.68,163.44,164.87,162.41,2.47M,-0.22%
2020-07-29,165.05,163.46,165.43,163.46,2.15M,1.33%
2020-07-28,162.89,163.62,164.23,162.78,1.90M,-0.73%
2020-07-27,164.09,163.06,164.1,162.62,2.42M,0.86%
2020-07-26,162.69,162.69,162.69,162.69,,0.00%
2020-07-25,162.69,162.69,162.69,162.69,,0.00%
2020-07-24,162.69,162.83,163.4,161.9,2.36M,-0.77%
2020-07-23,163.96,165.61,166.2,163.08,3.11M,-1.09%
2020-07-22,165.77,164.59,165.94,164.59,2.72M,0.52%
2020-07-21,164.91,165.64,165.9,164.37,2.35M,0.29%
2020-07-20,164.44,163.02,164.86,162.6,3.11M,0.77%
2020-07-17,163.19,163.09,163.51,162.07,2.14M,0.38%
2020-07-16,162.57,162.16,162.8,161.68,2.19M,-0.45%
2020-07-15,163.3,163.33,163.64,161.67,3.75M,1.24%
2020-07-14,161.3,158.5,161.41,157.74,3.22M,1.31%
2020-07-13,159.21,162.08,163.55,158.88,4.69M,-1.08%
2020-07-12,160.95,160.95,160.95,160.95,,0.00%
2020-07-11,160.95,160.95,160.95,160.95,,0.00%
2020-07-10,160.95,159.17,161.01,158.43,2.39M,1.07%
2020-07-09,159.24,160.56,160.7,157.28,2.47M,-0.62%
2020-07-08,160.23,159.31,160.28,158.37,2.44M,0.82%
2020-07-07,158.93,159.79,160.88,158.73,2.36M,-1.02%
2020-07-06,160.56,160.5,161.03,159.86,3.31M,1.58%
2020-07-05,158.07,158.07,158.07,158.07,,0.00%
2020-07-04,158.07,158.07,158.07,158.07,,0.00%
2020-07-02,158.07,159.3,160.07,157.86,3.18M,0.40%
2020-07-01,157.44,156.9,158.04,156.61,3.64M,0.58%
2020-06-30,156.53,154.48,157.22,154.07,4.32M,1.48%
2020-06-29,154.25,152.7,154.28,151.35,3.16M,1.47%
2020-06-26,152.02,154.98,155.17,151.73,3.51M,-2.33%
2020-06-25,155.64,153.43,155.77,152.41,4.03M,0.75%
2020-06-24,154.48,157.63,157.91,153.41,3.73M,-2.71%
2020-06-23,158.79,159.63,159.98,158.55,2.56M,0.39%
2020-06-22,158.17,156.95,158.3,156.05,2.56M,0.69%
2020-06-19,157.08,159.86,159.88,156.29,3.82M,-0.56%
2020-06-18,157.97,156.94,158.3,156.43,2.80M,0.08%
2020-06-17,157.84,159.14,159.21,157.41,3.70M,-0.49%
2020-06-16,158.61,160.12,160.12,155.91,4.58M,1.92%
2020-06-15,155.62,150.56,156.16,149.85,4.86M,1.07%
2020-06-12,153.97,156.49,156.49,150.83,6.88M,1.38%
2020-06-11,151.87,156.91,157.7,151.63,12.50M,-5.90%
2020-06-10,161.39,162.81,163.25,161.01,4.29M,-0.74%
2020-06-09,162.6,162.65,163.48,161.88,3.20M,-0.91%
2020-06-08,164.1,162.9,164.2,162.32,5.85M,1.36%
2020-06-07,161.9,161.9,161.9,161.9,,0.00%
2020-06-05,161.9,161.4,163.08,161.0,4.37M,2.57%
2020-06-04,157.85,157.71,158.65,156.62,5.63M,-0.32%
2020-06-03,158.35,157.2,158.8,157.01,9.50M,1.56%
2020-06-02,155.92,155.2,156.0,154.43,4.16M,0.76%
2020-06-01,154.75,153.62,155.09,153.27,3.48M,0.68%
2020-05-29,153.71,152.8,154.13,151.41,4.78M,0.33%
2020-05-28,153.2,154.41,155.19,152.73,4.60M,-0.34%
2020-05-27,153.73,153.0,153.73,150.02,5.08M,1.58%
2020-05-26,151.34,152.84,152.89,151.11,4.20M,1.39%
2020-05-22,149.26,148.76,149.28,147.97,3.00M,0.28%
2020-05-21,148.84,149.6,150.13,148.02,3.42M,-0.60%
2020-05-20,149.74,149.17,150.19,148.91,3.89M,1.85%
2020-05-19,147.02,148.36,149.3,147.02,3.18M,-1.06%
2020-05-18,148.6,147.53,149.41,147.25,4.56M,3.32%
2020-05-15,143.83,141.77,143.86,141.19,3.85M,0.60%
2020-05-14,142.97,139.85,143.09,138.37,7.56M,1.07%
2020-05-13,141.45,143.9,144.31,140.02,5.86M,-2.01%
2020-05-12,144.35,148.08,148.31,144.19,4.86M,-2.13%
2020-05-11,147.49,146.22,148.21,146.03,4.24M,0.01%
2020-05-08,147.47,146.45,147.63,145.88,4.25M,1.88%
2020-05-07,144.75,144.7,145.76,144.4,3.80M,1.31%
2020-05-06,142.88,144.61,144.87,142.7,3.93M,-0.55%
2020-05-05,143.67,144.08,145.34,143.46,3.67M,0.93%
2020-05-04,142.35,140.67,142.45,139.91,4.74M,0.38%
